coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain,snow
"{'lon': 106.34, 'lat': 39.23}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.48, 'pressure': 837, 'humidity': 14, 'temp_min': 281.48, 'temp_max': 281.48}",,"{'speed': 1.34, 'deg': 135, 'gust': 2.68}",{'all': 0},1572095304.0,"{'type': 3, 'id': 2000025, 'country': 'CN', 'sunrise': 1572045294, 'sunset': 1572084131}",28800.0,1794971.0,Shitanjing,200,,,
"{'lon': 169.85, 'lat': -46.28}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 287.68, 'pressure': 998, 'humidity': 68, 'temp_min': 287.68, 'temp_max': 287.68, 'sea_level': 998, 'grnd_level': 999}",,"{'speed': 5.52, 'deg': 360}",{'all': 94},1572095304.0,"{'country': 'NZ', 'sunrise': 1572110738, 'sunset': 1572160993}",46800.0,2208248.0,Kaitangata,200,,,
"{'lon': -68.53, 'lat': -31.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 298.49, 'pressure': 1005, 'humidity': 36, 'temp_min': 298.49, 'temp_max': 298.49, 'sea_level': 1005, 'grnd_level': 927}",,"{'speed': 2.35, 'deg': 14}",{'all': 0},1572095304.0,"{'country': 'AR', 'sunrise': 1572082975, 'sunset': 1572130383}",-10800.0,3837213.0,San Juan,200,,,
"{'lon': -51.08, 'lat': -30}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 296.67, 'pressure': 1017, 'humidity': 64, 'temp_min': 294.15, 'temp_max': 298.15}",10000.0,{'speed': 1},{'all': 0},1572095305.0,"{'type': 1, 'id': 8334, 'country': 'BR', 'sunrise': 1572078904, 'sunset': 1572126077}",-10800.0,3452925.0,Alvorada,200,,,
"{'lon': 153.62, 'lat': -28.65}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 294.57, 'pressure': 1012, 'humidity': 83, 'temp_min': 293.71, 'temp_max': 296.15}",10000.0,"{'speed': 7.7, 'deg': 360}",{'all': 90},1572095305.0,"{'type': 1, 'id': 9486, 'country': 'AU', 'sunrise': 1572116251, 'sunset': 1572163270}",39600.0,2172880.0,Byron Bay,200,,,
"{'lon': -124.16, 'lat': 40.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 283.12, 'pressure': 1018, 'humidity': 93, 'temp_min': 279.26, 'temp_max': 285.15}",9656.0,"{'speed': 1.55, 'deg': 341}",{'all': 90},1572095305.0,"{'type': 1, 'id': 4127, 'country': 'US', 'sunrise': 1572100776, 'sunset': 1572139282}",-25200.0,5563839.0,Fortuna,200,,,
"{'lon': -23.68, 'lat': 15.1}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 304.15, 'pressure': 1015, 'humidity': 66, 'temp_min': 304.15, 'temp_max': 304.15}",10000.0,"{'speed': 4.1, 'deg': 140}",{'all': 20},1572095305.0,"{'type': 1, 'id': 2462, 'country': 'CV', 'sunrise': 1572074918, 'sunset': 1572116913}",-3600.0,3374888.0,Assomada,200,,,
"{'lon': 13.84, 'lat': -18.06}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 305.59, 'pressure': 1009, 'humidity': 9, 'temp_min': 305.59, 'temp_max': 305.59, 'sea_level': 1009, 'grnd_level': 872}",,"{'speed': 1.66, 'deg': 89}",{'all': 100},1572095305.0,"{'country': 'NA', 'sunrise': 1572064115, 'sunset': 1572109707}",7200.0,3354077.0,Opuwo,200,,,
"{'lon': -99.65, 'lat': 37.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 271.14, 'pressure': 962, 'humidity': 77, 'temp_min': 268.71, 'temp_max': 273.71}",,"{'speed': 2.68, 'deg': 160, 'gust': 4.02}",{'all': 0},1572095305.0,"{'type': 3, 'id': 2021131, 'country': 'US', 'sunrise': 1572094598, 'sunset': 1572133696}",-18000.0,4267710.0,Sitka,200,,,
"{'lon': -139.03, 'lat': -9.8}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 299.17, 'pressure': 1010, 'humidity': 67, 'temp_min': 299.17, 'temp_max': 299.17, 'sea_level': 1010, 'grnd_level': 1009}",,"{'speed': 2.52, 'deg': 38}",{'all': 66},1572095305.0,"{'country': 'PF', 'sunrise': 1572101265, 'sunset': 1572145930}",-34200.0,4020109.0,Atuona,200,,,
"{'lon': 19.24, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 295.37, 'pressure': 1012, 'humidity': 43, 'temp_min': 295.37, 'temp_max': 295.37}",,"{'speed': 4.02, 'deg': 281, 'gust': 7.6}",{'all': 9},1572095305.0,"{'type': 3, 'id': 2003650, 'country': 'ZA', 'sunrise': 1572061699, 'sunset': 1572109532}",7200.0,3366880.0,Hermanus,200,,,
"{'lon': -115.79, 'lat': 60.82}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 269.15, 'pressure': 1031, 'humidity': 73, 'temp_min': 269.15, 'temp_max': 269.15}",24140.0,"{'speed': 3.6, 'deg': 360}",{'all': 90},1572095306.0,"{'type': 1, 'id': 819, 'country': 'CA', 'sunrise': 1572101558, 'sunset': 1572134483}",-21600.0,5972762.0,Hay River,200,,,
"{'lon': 161.3, 'lat': 68.75}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 255.93, 'pressure': 1022, 'humidity': 75, 'temp_min': 255.93, 'temp_max': 255.93, 'sea_level': 1022, 'grnd_level': 1020}",,"{'speed': 4.8, 'deg': 141}",{'all': 20},1572095306.0,"{'country': 'RU', 'sunrise': 1572124007, 'sunset': 1572151828}",39600.0,2126199.0,Cherskiy,200,,,
"{'lon': 179.32, 'lat': 63.05}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 266.84, 'pressure': 1021, 'humidity': 92, 'temp_min': 266.84, 'temp_max': 266.84, 'sea_level': 1021, 'grnd_level': 1020}",,"{'speed': 14.62, 'deg': 334}",{'all': 100},1572095306.0,"{'country': 'RU', 'sunrise': 1572117708, 'sunset': 1572149478}",43200.0,2126710.0,Beringovskiy,200,,,{'3h': 0.56}
"{'lon': -114.04, 'lat': 27.97}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 290.67, 'pressure': 1010, 'humidity': 34, 'temp_min': 290.67, 'temp_max': 290.67, 'sea_level': 1010, 'grnd_level': 1007}",,"{'speed': 0.66, 'deg': 111}",{'all': 0},1572095306.0,"{'country': 'MX', 'sunrise': 1572097384, 'sunset': 1572137817}",-21600.0,4021858.0,Guerrero Negro,200,,,
,,,,,,,,,,,,404,city not found,,
